0.7225,-0.70803,2.5482,2.9373,-1.5747,-3.7841,-1.7125,3.2401,6.3063,5.0047,-4.2826,-1.976,4.4939,-3.3228,-2.323
1.9318,2.5905,1.8215,4.043,-2.6536,-2.4689,-1.2628,5.6784,4.0139,4.7699,-1.7122,-1.9805,3.7787,-1.4531,-3.6968
-0.68104,0.78911,1.9374,4.2604,-4.0998,-3.4112,-0.035031,3.4702,4.5824,6.2444,-3.0631,-2.0721,3.6031,-5.4036,-1.6732
2.3366,0.73484,2.8676,3.3849,-1.8499,-3.1541,-0.61926,3.123,4.9996,5.3735,-0.61285,-2.7975,5.7069,-2.8682,-4.9665
0.1665,1.9524,4.3689,5.3387,-2.978,-3.861,1.7615,2.0922,4.8791,4.6293,-2.4547,-2.9319,3.6028,-3.2595,-4.3454
1.2513,1.9315,2.5181,4.898,-3.0547,-1.933,0.30027,3.6216,3.945,7.621,-3.333,-1.7701,6.0231,-3.2938,-1.5317
0.54727,1.3092,2.1747,4.8981,-2.8408,-4.2117,0.59179,3.6464,7.0044,6.3031,-2.1637,-2.7343,4.95,-3.7929,-4.536
1.4826,-1.4543,3.4171,2.3792,-0.7291,-4.4719,-0.90773,5.0158,5.8808,4.2785,-0.73927,-1.9326,5.3959,-3.848,-4.8766
-0.37808,0.1568,1.7742,3.2635,-1.0695,-4.546,-1.053,1.678,4.3331,4.1616,-0.41914,-3.6846,5.6501,-4.4615,-2.8699
1.5969,1.8142,3.2321,3.4543,-3.8124,-2.0592,0.81479,2.63,4.5882,4.1891,-2.0462,-3.9085,6.7289,-3.2051,-2.707
-0.92241,1.4331,2.8866,4.6548,-3.3709,-2.1613,0.45368,3.1341,6.0949,4.7413,-1.4408,-0.55342,4.1681,-2.2322,-1.9945
-0.58724,0.16494,3.0192,3.1101,-2.3615,-4.7753,-1.0953,2.5256,4.8377,5.2951,-0.89379,-2.1901,5.1826,-3.5709,-2.7694
